str,en_US,en_HK,en_SG,en_TH,zh_HK,zh_SG,th_TH,id_HK,id_SG
aboutUs,About Us,,,,關於我們,关于我们,เกี่ยวกับเรา,Tentang kami,
aboveAmountWillBeDeducted,Point value above will be deducted from your balance.,,,,以上積分總值將於您的積分餘額中扣除。,以上积分总值将于您的积分余额中扣除。,มูลค่าที่ระบุข้างต้นจะถูกหักออกจากยอดคงเหลือของคุณ,Nilai poin di atas akan dipotong dari saldo Anda.,
account,Account,,,,帳戶詳細資料,帐户详细资料,บัญชี,Akun,
account_fill,Account:,,,,帳戶：,帐户：,บัญชี:,Akun:,
activitiesInPastMonths,Activities in the past months,,,,帳戶詳細紀錄,帐户详细纪录,กิจกรรมในเดือนที่ผ่านมา,Kegiatan dalam beberapa bulan terakhir,
activity,Activity,,,,帳戶活動,帐户活动,กิจกรรม,Aktivitas,
add,Add,,,,添加,添加,เพิ่ม,Menambahkan,
add_value,Add Value,,,,增值,增值,เติมเงิน,Tambahkan nilai,
app_name,Dragon Rewards,,,,Dragon Rewards,Dragon Rewards,Dragon Rewards,Hadiah Naga,
applications,Applications,,,,應用程序,应用程序,แอปพลิเคชัน,Aplikasi,
appOfficialPage,Official Website,,,,官方網站,官方网站,เว็บไซต์ทางการ,Situs Resmi,
areYouSure,Proceed to Exchange?,,,,確認兌換?,确认兑换?,ดำเนินการแลกเปลี่ยนต่อหรือไม่,Lanjutkan ke Penukaran?,
areYouSureAbtDonate,Proceed to Donate?,,,,確認捐贈?,确认捐赠?,ดำเนินการบริจาคต่อหรือไม่,Lanjutkan untuk Berdonasi?,
available_24_hours,Available 24 Hours,,,,24小時,24小时,ให้บริการตลอด 24 ชั่วโมง,Tersedia 24 Jam,
back_to_e_voucher_page,Back to E-Voucher Page,,,,返回電子禮劵頁面,返回电子礼劵页面,กลับไปที่หน้า E-Voucher,Kembali ke Halaman E-Voucher,
backToLogoutPage,You shall be brought back to the login page once account deletion is complete.,,,,帳戶刪除完成後，您將返回登錄頁面。,帐户删除完成后，您将返回登录页面。,คุณจะถูกนำกลับไปที่หน้าเข้าสู่ระบบ เมื่อทำการลบบัญชีเสร็จสิ้น,Anda akan dibawa kembali ke halaman login setelah penghapusan akun selesai.,
brand,Brand,,,,品牌,品牌,ยี่ห้อ,Merek,
byRegion,By region,,,,更多區域,更多区域,ตาม ภูมิภาค,Berdasarkan wilayah,
cancel,Cancel,,,,取消,取消,ยกเลิก,Membatalkan,
cannotUndo,This action cannot be undone!,,,,一旦進行就無法撤消!,一旦进行就无法撤消!,การดำเนินการนี้ไม่สามารถยกเลิกได้!,Tindakan ini tidak bisa dibatalkan!,
